module_code,module_name
PRRS101|D1|22,LAW FOR LIFE
CEDB301|D1|22,2 AND 3-DIMENSIONAL DESIGN STUDIES I
PHIS101|D1|22,2 AND 3-DIMENSIONAL DESIGN STUDIES II
ATHB301|D1|22,2 AND 3 DIMENSIONAL STUDIES III
INSL101|P1|22,2-DIMENSIONAL STUDIES  1B
MMTC101|I1|22,3-DIMENSIONAL STUDIES IB
NENS102|D1|22,APPLIED ADMINISTRATIVE MANAGEMENT
ADCS702|D1|22,APPLIED ANATOMY AND PHYSIOLOGY IB
AHRK802|D3|22,ANALYTICAL BIOCHEMISTRY III
COME101|D1|22,ACADEMIC & QUANTITATIVE LITERACY
EQDV101|P1|22,ANALYTICAL CHEMISTRY III (ATOMIC SPECTROSCOP)
MDRC301|D1|22,ANALYTICAL CHEMISTRY III (CHROMATOGRAPHY)
APDB301|D1|22,ACCOMMODATION MANAGEMENT III
EMAN301|P1|11,ACCOUNTING I
MTBE101|D1|22,ACCOUNTING II
HOWP101|D1|22,ACCOUNTING 302
INDE101|D1|22,ACCOUNTING PROFESSIONAL PRACTICE 1B
BSYS101|P1|22,ACCOUNTING III
FMNG101|D1|22,ANALYTICAL CHEMISTRY III (ELECTROANALYTICAL)
PRTP301|D1|22,ADVANCED COMPLIANCE AND GOVERNANCE LAW
ADTN301|D3|22,ANALYTICAL CHEMISTRY IV (MODULE 2)
ENMA802|D1|22,CONSTRUCTION LAW AND ARBITRATION
TEPS303|D1|22,ACADEMIC LITERACY
STDT201|I1|22,ADVANCED CLINICAL PRACTICE
INAU201|D1|22,ACCOMODATION MANAGEMENT 201
EINT301|P1|11,ANALYTICAL CHEMISTRY III (MOLECULAR SPECTROS)
ACAS301|D1|22,ACCOUNTING LITERACIES 102
HIVD101|D1|22,ACCOUNTING PROFESSIONAL PRACTICE 1B
SRCV101|D1|22,ACCOUNTING AND FINANCIAL PRINCIPLES II
STHM402|P1|22,ANALYTICAL CHEMISTRY:PRACTICAL III (MODULE 1)
BSAP201|D1|22,ANALYTICAL CHEMISTRY:PRACTICAL III (MODULE 2)
EWSY301|D1|22,ACCOUNTING RESEARCH PROJECT B
FOOB101|P1|22,ACCOUNTING RESEARCH PROJECT B
RPPB301|D1|22,ACTING TECHNIQUES IB
SLPA301|D1|22,ACTING TECHNIQUES IIB
ESTP802|D1|22,ACTING TECHNIQUES IIIB
CEDB201|D1|22,ACTING TECHNIQUES IV B
TEDE802|D1|22,ART AND DESIGN APPRECIATION 1B
MACB301|D3|22,ADVANCED AUDITING
EDUC301|I1|11,ADVANCED AUDITING
MCMB101|D1|22,ADVANCED FINANCIAL ACCOUNTING 4D
IMAC101|D1|22,ADVANCED FINANCIAL ACCOUNTING 4D
SLMB201|I1|22,ADVANCE CORPORATE PRACTICE 1
TRMP302|P1|22,ADVANCE CORPORATE PRACTICE 1
FREN402|D1|22,ADVANCED FINANCIAL ACCOUNTING FOR SME's
OPRT201|D1|22,ADVANCED FINANCIAL ACCOUNTING FOR SME's
ADPR401|D1|22,ADVANCED COLOURATION THEORY
RENE301|D1|22,ADVANCED CYBERSECURITY
CLFA101|P1|22,ADVANCED ENTREPRENUERSHIP
WKPP101|D3|22,ADVANCED FINANCIAL MANAGEMENT
EMCS101|P1|22,ADVANCED FINANCIAL MANAGEMENT
AUDN221|P1|22,ADVANCED FINANCIAL MANAGEMENT 1
ACCP102|D1|22,ADVANCED FINANCIAL MANAGEMENT 1
PHYS104|D1|22,ADVANCED FINANCIAL MANAGEMENT
PYCL101|D1|22,ADVANCED HOSPITALITY OPERATIONS
FDBT101|D1|22,ADVANCED DISASTER AND RISK MANAGEMENT
EDPB301|D1|22,ADVANCED IMAGE PROCESSING
TELC101|D1|22,ADJUNCTIVE THERAPIES I
TPRP101|D1|22,ADVANCED LEADERSHIP & GOVERNANCE
EVMN201|D1|22,ADVANCED LABOUR LAW
RPJT401|D1|22,ADVANCED LABOUR LAW
QUTE102|D1|22,ADVANCED LABOUR LAW
URST802|D1|22,ADVANCED LABOUR LAW
CLMA101|D1|22,ADVANCED LABOUR LAW
QAUT401|D3|22,ADVANCED LITERATURE STUDIES
ZUHL202|I1|22,ADVANCED MONITORING & EVALUATION
UPPA101|D1|22,ADMINISTRATIVE MANAGEMENT II
CLPB301|D1|22,ARCHITECTURAL DESIGN IB
MNMN201|P1|22,ADVANCED OPERATIONS MANAGEMENT
ALWR101|D3|22,APPLICATIONS DEVELOPMENT PROJECT III
PJMT101|P1|22,ADVANCED PUBLIC RELATIONS
FYSE|P1|22|C|P,ADVANCED PUBLIC RELATIONS
BISP102|I1|22,ADVANCED DISCRIPTIVE QUANTIFICATION 4B
WVPP502|D1|22,ADVANCED INDUSTRIAL RELATIONS
CLAW201|D1|22,ADVANCED INDUSTRIAL RELATIONS
BPRM121|D1|22,ADVANCED INDUSTRIAL RELATIONS
INAD221|D1|22,ARCHITECTURAL DESIGN
CPHB101|D1|22,DVANCED STRATEGIC MANAGEMENT
SPMT802|D3|22,ADVANCED STRATEGIC MANAGEMENT
MMTA101|I1|22,ADVANCED STRATEGIC RETAILING
MRFM404|D1|22,AUDITING 2B
RSMA102|D1|22,AUDITING 2B
PPCT301|D1|22,AUDITING III
WKSM101|D1|22,AUDITING III
CCAC202|D1|22,AUDITING III
TRNA201|I1|22,ADVANCED COMPUTER AUDIT 4B
PHJO102|D1|22,APPLIED EMPLOYEE RELATIONS
AMGT201|P1|22,APPLIED EMPLOYEE RELATIONS
FNTR401|D1|22,AESTHETIC PRACTICES II
CMNP301|D1|22,ADVANCED ENVIRONMENTAL MANAGEMENT
CLPR101|D1|22,APPLIED FINANCIAL ACCOUNTING 3B
TCLT101|D1|22,APPLIED FOREIGN LANGUAGE: FRENCH 102
BGDD101|D1|22,APPLIED FOREIGN LANGUAGE: FRENCH 202
PRMM101|D1|22,APPLIED FOREIGN LANGUAGE: MANDARIN 102
HRMP101|D1|22,APPLIED FOREIGN LANGUAGE: MANDARIN 202
BSRT801|D3|22,APPLIED FIRST LANGUAGE: ISIXHOSA 102
HCPI301|D1|22,APPLIED FIRST LANGUAGE: ISIXHOSA 202
LIRE401|D1|22,APPLIED FIRST LANGUAGE: ISIZULU 102
MMTB101|I1|22,APPLIED FIRST LANGUAGE: ISIZULU 202
VCDS221|D1|22,APPLIED FINANCIAL MANAGEMENT
CCNS101|D1|22,APPLIED HUMAN RESOURCE & KNOWLEDGE MANAGEMENT
UPPB401|D1|22,APPLIED HUMAN RESOURCE & KNOWLEDGE
EXPH201|D1|22,ADV INTERIOR CONSTRUCTION CODES & REGULATIONS
AFLZ202|D1|22,ADV INTERIOR CONSTRUCTION CODES & REGULATIONS
TPRS201|D1|22,ADVANCED LEADERSHIP AND GOVERNANCE
ALIN201|D1|11,ADMIRALTY LAW AND JURISDICTION
PFSP201|D1|22,ALGORITHMS AND DATA STRUC
TRPR101|D1|22,CADEMIC LITERACY AND INFORMATION I
CADS301|D1|22,ACADEMIC LITERACY AND INFORMATION II
CMLB201|D1|22,ADVANCED LOCAL ECONOMIC DEVELOPMENT
NSMR101|D1|22,ACADEMIC LITERACY AND PRACTICE
BRPR802|D3|22,CADEMIC LITERACY & WRITING SKILLS/AC PR
ACCN302|I1|22,ACADEMIC LITERACY & WRITING SKILLS/AC PR
DFEC101|I1|22,ACADEMIC LITERACY & WRITING SKILLS/AC PR
MAFA101|D1|22,ACADEMIC LIT & WRITING SKILLS /ACC PRACTICE
PHGU201|D1|22,ADVANCED MANAGEMENT ACCOUNTING
EDTC102|D1|22,ADMINISTRATIVE MANAGEMENT II
REPR802|D1|22,ADVANCED MECHANICAL MANUFACTURING
PHIS121|D1|22,ADVANCED MONITORING AND EVALUATION
EVEN101|D1|22,ANALYTICAL BIOCHEMISTRY III
ACHM422|D1|22,ANALYTICAL CHEMISTRY I
SMCO101|D1|22,GROSS ANATOMY 1A
CYCW301|D1|22,CLINICAL ANATOMY II
INLR101|D1|22,ANALOGUE ELECTRONICS IA
ELDH102|P1|22,ANALOGUE ELECTRONICS IB
PJEM101|D1|22,ANALOGUE ELECTRONICS IA
COHO402|D1|22,ANATOMY II
HDEV201|D1|22,ANATOMY AND PHYSIOLOGY IB
NSRB302|I1|22,ANATOMY AND PHYSIOLOGY IB
STBE101|D1|22,ANATOMY AND PHYSIOLOGY IIB
RMHO101|D1|11,ADVANCED OPERATIONS MANAGEMENT TECHNIQUES
FPEN101|D1|22,APPLIED PHYSICAL CONDITIONING 1
ZUFL202|I1|22,APPLIED PHYSICAL CONDITIONING 3
PBLF201|P1|22,APPLIED PR & COMM PLANNING
ADLS401|D1|22,APPLICATIONS DEVELOPMENT IB
EWSY101|D1|22,APPLICATIONS DEVELOPMENT IIB
IMTN221|P1|22,APPLICATIONS DEVELOPMENT  IIIB
MELA501|D1|22,APPLICATIONS DEVELOPMENT PROJECT 1
SVPJ301|D1|22,APPLICATIONS DEVELOPMENT
IPPB101|D1|22,APPLICATIONS DEVELOPMENT PROJECT IIIB
CMCL101|D1|22,APPLIED ADMINISTRATIVE MANAGEMENT
ENGA202|D1|22,APPLICATIONS DEVELOPMENT PROJECT I
FSCP102|D1|22,APPLICATIONS DEVELOPMENT PROJECT II
BINS221|P1|22,ADVANCED PEOPLES MANAGEMENT
CTEC101|I1|22,ADVANCED PEOPLE MANAGEMENT
FCAB101|P1|22,APPIED FINANCIAL ACCOUNTING 3B
NMPB401|D1|22,APPLIED FINANCIAL ACCOUNTING
CCWB401|D1|22,APPLIED FINANCIAL ACCOUNTING
DVBL101|P1|22,APPLIED FINANCIAL MANAGEMENT
ELTE102|I1|22,APPLIED FINANCIAL MANAGEMENT
INTMAAC|D6|11,APPLIED FINANCIAL MANAGEMENT
