qualification_code,qualification_name
PMB PGDMSC,DIPLOMA IN TAXATION ECP
DISLD1,BACHELOR OF APPLIED ARTS IN COMMERCIAL PHOTOGRAPHY 
DIMMK1,BACHELOR OF HEALTH SCIENCES IN NUCLEAR MEDICINE
ADCSF1,BACHELOR OF HEALTH SCIENCES IN DIAGNOSTIC SONOGRAPHY
DIIBA1,NATIONAL DIPLOMA: ECOTOURISM MANAGEMENT
PMB PGDMBA,BACHELOR OF HEALTH SCIENCES IN ENVIRONMENTAL HEALTH
ADFSC1,ADVANCED IN HUMAN RESOURCES MANAGEMENT
ADMRE1,POSTGRADUATE DIPLOMA IN  PUBLIC ADMIN (LOC GOV MGTNT)
ADSHL1,BACHELOR OF EDUCATION IN FET TECHNOLOGY EDUCATION 
PDISH1,DIPLOMA IN MANAGEMENT SCIENCES: RETAIL MANAGEMENT
PDPMD1,DIPLOMA IN TEXTILE TECHNOLOGY
PMB HCPAD1,ADVANCED DIPLOMA IN INF & COM TECHNOLOGY 
BEDLN1,BACHELOR OF HEALTH SCIENCES IN RADIOTHERAPHY
DILIS1,ADVANCED DIPLOMA IN SOMATOLOGY 
ADTXT1,DIPLOMA IN ACCOUNTING
PGDMS1,DIPLOMA IN INTERNAL AUDITING
BETHEE,POSTGRADUATE DIPLOMA IN  MAN. SCIENCES:  MARKETING
BDVCD1,DIPLOMA IN CATERING  MANAGEMENT
BHRDT1,POSTGRADUATE DIPLOMA IN LANGUAGE PRACTICE
PMB HCECT1,DIPLOMA IN ICT APPLICATIONS DEVELOPMENT
DIACCF,DIPLOMA IN LIBRARY & INFORMATION STUDIES 
NDHSF1,BACHELOR OF ENGINEERING TECHNOLOGY HONOURS IN INDUSTRIAL ENGINEERING
BHDSN1,ADVANCE DIPLOMA IN BUSINESS LAW
PGDHR1,BACHELOR OF EDUCATION IN SP & FET  LANGUAGE EDUCATION 
PGDSH1,BACHELOR OF APPLIED SCIENCES IN SPORT MANAGEMENT SCIENCE
DIBIF1,DIPLOMA IN MANAGEMENT SCIENCES: HUMAN RESOURCES MANAGEMENT
DIJDM1,HIGHER CERTIFICATE: PUBLIC RELATIONS & COMMUNICATION MANAGEMENT
BASSM1,BACHELOR OF THE BUILT ENVIRONMENT IN ARCHITECTURE
BASTX1,ADVANCED DIPLOMA IN MANAGEMENT SCIENCES: OPERATIONS
